pid,type,bc,psr,trg,conv
624413,PASS,,RW-3850,JK-0250,0
626036,PASS,,MS-4100,GT-0100,0
626167,RUSH,JF-2800,,,1
626351,RUSH,LW-0500,,,0
626675,PASS,,JC-6200,DR-3200,1
626702,PASS,,JC-6200,MF-1300,1
626891,PASS,,MV-0300,JK-1000,0
628554,PASS,,BB-2425,CS-1500,0
628722,PASS,,BH-1900,KS-1350,0
629354,RUSH,RG-1850,,,0
629368,RUSH,MA-1150,,,1
629874,PASS,,TB-2300,JE-0100,0
630178,PASS,,BW-2625,MS-3400,1
630258,RUSH,LT-0050,,,0
631441,PASS,,MR-2500,HD-0300,1
631631,PASS,,BB-2425,AR-1250,1
635716,PASS,,TB-2650,CJ-1450,1
636716,PASS,,PM-0200,ES-0200,1
636757,RUSH,DT-0550,,,1
638710,PASS,,BR-1100,AB-3500,1
638722,PASS,,BR-1100,LM-1500,1
639006,PASS,,BB-2425,ML-0650,0
639016,PASS,,BB-2425,ML-1500,0
639564,RUSH,ST-0250,,,1
639852,PASS,,AS-1600,AF-0200,0
640179,RUSH,MF-1300,,,1
640338,PASS,,BR-1100,HM-0200,1
640505,PASS,,,,0
640560,PASS,,,,0
641500,PASS,,JH-3230,CH-1230,1
641986,PASS,,DS-3800,JC-0700,1
642672,RUSH,JR-2800,,,0
644654,PASS,,GS-1050,JK-1000,0
645275,PASS,,JC-6200,MB-1800,1
646154,RUSH,MA-1150,,,1
647118,PASS,,,,0
648290,RUSH,JB-2700,,,1
650876,PASS,,BR-1100,AB-3500,0
651709,PASS,,AR-1300,AQ-0100,0
652063,PASS,,RW-3850,LW-1450,1
652496,PASS,,BR-1100,MW-1250,1
652883,PASS,,RM-0300,DH-3950,1
653173,PASS,,AL-1100,CF-0650,1
653204,PASS,,AL-1100,AJ-0900,0
653663,RUSH,ML-2500,,,1
654358,PASS,,MM-2570,RS-3250,0
655423,PASS,,BR-1100,AB-3500,1
655454,PASS,,BR-1100,HM-0200,1
655537,PASS,,CK-0100,TS-2300,1
655695,PASS,,DB-3800,WS-0925,0
655898,RUSH,JB-2700,,,0
656224,PASS,,TT-0500,PH-0400,0
656242,RUSH,PH-0400,,,0
656404,PASS,,PR-0300,KA-0650,0
657569,PASS,,AR-1300,RR-1050,1
657900,PASS,,KC-2350,JC-5680,1
658028,PASS,,MR-2500,LT-0550,1
658251,RUSH,JF-2950,,,0
658923,PASS,,LM-0800,MC-2400,0
659510,PASS,,BR-1100,DH-2800,0
659873,PASS,,RT-0150,JL-0215,1
660172,RUSH,JB-2700,,,0
660391,PASS,,AS-1600,TK-0150,1
660419,PASS,,AS-1600,JA-2900,0
661134,RUSH,AW-1350,,,1
661855,RUSH,SR-0450,,,0
661972,RUSH,JH-4025,,,1
662186,PASS,,JM-2900,TG-0025,1
663298,PASS,,JC-6200,MM-0900,0
663313,PASS,,JC-6200,MF-1300,0
663623,PASS,,MR-2500,LH-0600,0
663629,PASS,,KC-2350,PG-0100,0
663785,PASS,,JW-5650,VJ-0100,1
664143,PASS,,JM-2900,TB-1060,0
664162,PASS,,JF-1900,JF-2800,0
664173,PASS,,JM-2900,AH-1900,1
665799,PASS,,LJ-1250,AB-3500,0
666319,PASS,,JC-6200,MF-1300,1
666525,PASS,,JM-2900,TB-1060,0
667414,PASS,,CK-0100,AB-2000,0
668116,RUSH,LM-1000,,,1
669290,PASS,,BH-1900,JG-3850,0
669632,PASS,,PR-0300,LG-0750,1
669658,PASS,,PR-0300,LG-0750,1
670129,PASS,,JF-1900,NB-0450,1
670898,PASS,,NF-0250,JC-4300,1
672818,PASS,,AR-1300,DA-0212,1
673151,PASS,,MM-0912,DW-0500,1
673384,RUSH,TG-1950,,,0
673445,RUSH,TB-2650,,,1
673746,PASS,,BR-1100,DW-3600,1
674034,PASS,,JW-5650,RS-0975,0
674735,RUSH,JL-0280,,,1
675085,PASS,,AR-1300,DA-0212,0
675971,PASS,,BR-1100,AB-3500,1
676200,PASS,,BB-2425,AH-3900,0
676212,PASS,,JF-1900,KA-0400,0
676736,RUSH,BO-0650,,,0
676892,PASS,,RW-3850,JK-0250,0
676899,PASS,,RW-3850,JG-2900,0
678108,RUSH,JL-0280,,,0
678238,PASS,,AR-1300,JJ-4200,1
679734,PASS,,MC-0700,DM-1600,1
680869,PASS,,,,0
681015,PASS,,MM-0912,DG-2650,1
681692,PASS,,BR-1100,JJ-0725,1
681743,PASS,,RW-3850,KS-1750,0
681748,PASS,,BR-1100,AB-3500,0
681756,RUSH,TR-0112,,,0
682302,RUSH,AR-1300,,,0
682756,PASS,,JW-5650,AH-3862,0
682934,RUSH,MI-0100,,,1
683270,RUSH,JG-3850,,,1
683387,RUSH,JA-0450,,,1
683682,PASS,,BB-2425,JT-2000,0
684233,PASS,,DC-3200,AS-0900,0
684260,PASS,,AS-1600,TK-0150,1
684525,PASS,,BR-1100,WJ-0300,1
685724,PASS,,MM-0912,DM-1200,1
686858,PASS,,DC-0725,CW-0225,0
688703,RUSH,TT-0500,,,1
690231,PASS,,DC-0725,SR-0750,1
690439,PASS,,KC-2350,JC-5680,1
690798,PASS,,ZM-0150,AF-0200,0
691003,PASS,,RT-0150,DP-0350,0
691354,PASS,,BB-2425,RG-1812,0
691390,PASS,,,,0
691434,PASS,,BB-2425,CH-1200,1
691582,PASS,,MS-4100,GT-0100,0
692321,PASS,,AR-1300,JJ-4200,1
693518,PASS,,BR-1100,FT-0300,1
695634,PASS,,BR-1100,MW-1250,0
695688,RUSH,JH-4025,,,0
695977,PASS,,AR-1300,JA-0050,1
696673,PASS,,PM-0200,DT-0900,1
696873,PASS,,TB-2300,JE-0100,0
696998,RUSH,JN-0625,,,1
697021,PASS,,CN-0500,MT-1300,1
697198,PASS,,PM-0200,BF-0950,1
698325,PASS,,MM-0912,DM-4300,0
698464,PASS,,DC-0725,MC-2900,0
698477,PASS,,DC-0725,AC-2350,1
698498,PASS,,DC-0725,MC-2900,1
698807,PASS,,MR-2500,MS-0150,1
699113,PASS,,AL-1100,DA-0850,1
701387,PASS,,,,0
701850,RUSH,MR-2500,,,1
702075,PASS,,TS-1450,DT-0900,1
702855,PASS,,CP-0500,JB-6750,0
703209,PASS,,CK-0550,GB-0200,1
703400,RUSH,TS-1450,,,0
703675,RUSH,JM-3450,,,1
704229,PASS,,JW-5650,VJ-0100,0
704239,RUSH,CK-0250,,,0
704253,PASS,,JW-5650,VJ-0100,0
704426,RUSH,CH-5000,,,1
704893,PASS,,AL-1100,TH-1850,0
705182,RUSH,MI-0100,,,1
705861,RUSH,CN-0500,,,1
705881,PASS,,DA-1300,GO-0100,1
706228,PASS,,MS-4100,GT-0100,1
706356,PASS,,JF-1900,SS-2100,0
706399,PASS,,JF-1900,MW-0500,1
707443,PASS,,BR-1100,MW-1250,1
708425,PASS,,CW-1900,TP-2400,0
709684,PASS,,DC-0725,AC-2350,1
710000,PASS,,JW-5650,AH-3862,1
710591,PASS,,CN-0500,DF-2200,1
710923,PASS,,CK-0550,RL-1325,0
711445,PASS,,BR-1100,LB-0250,1
713170,PASS,,RT-0150,JL-0215,1
713224,PASS,,TT-0500,RB-4900,1
713394,PASS,,BK-0700,RS-3400,0
713622,RUSH,CW-1425,,,1
715186,RUSH,BB-2425,,,1
715708,RUSH,MR-2500,,,0
715765,RUSH,AR-1300,,,1
716133,PASS,,EM-0250,NO-0150,1
716312,PASS,,JM-2900,TP-2400,1
716458,PASS,,JW-5650,ME-0600,1
716638,PASS,,DB-3800,CF-0650,0
716826,PASS,,PR-0300,HH-0225,0
717014,PASS,,CP-0500,JN-0625,0
717476,PASS,,MR-2500,JJ-4700,0
717527,RUSH,JW-5650,,,0
717547,PASS,,MG-0850,BM-3800,1
718490,PASS,,JF-1900,SS-2100,1
719026,PASS,,AR-1300,DA-0212,0
719537,RUSH,TT-0500,,,1
719693,PASS,,JF-1900,KJ-1400,1
719873,RUSH,RM-1200,,,1
720339,RUSH,JS-6200,,,0
720346,PASS,,MM-0912,RM-1500,0
720566,PASS,,BB-2425,AR-1250,1
720710,PASS,,AS-1600,TK-0150,1
721231,PASS,,BR-1100,LG-0750,0
721254,PASS,,BR-1100,JJ-0725,0
721362,PASS,,BR-1100,FT-0300,0
721374,PASS,,DP-2037,DB-5300,0
721381,PASS,,BR-1100,AB-3500,0
721388,PASS,,DP-2037,DB-5300,0
721717,PASS,,RW-3850,DB-0500,0
722952,PASS,,BR-1100,DJ-1300,1
723857,PASS,,CW-1425,NA-0050,1
723955,RUSH,CT-1220,,,0
723988,RUSH,KC-2350,,,0
724455,PASS,,KC-2350,DC-0775,0
724790,PASS,,CP-0500,MF-0950,0
725109,RUSH,LM-1000,,,1
726215,PASS,,CN-0500,CB-3850,0
726228,PASS,,CN-0500,GO-0100,0
726254,PASS,,DC-0725,SR-0750,1
726433,PASS,,TB-2300,JW-2550,1
726613,PASS,,AS-1600,DH-1450,1
726972,PASS,,SB-1100,KR-1200,0
727274,PASS,,MS-4100,TJ-2350,0
727587,PASS,,MR-2500,DF-1875,0
727605,PASS,,MR-2500,AH-3650,1
727903,PASS,,RT-0150,JL-0215,0
728426,PASS,,DC-0725,SR-0750,1
728508,PASS,,BR-1100,AB-3500,0
728742,PASS,,JW-5650,ME-0600,1
729557,PASS,,CP-0500,DJ-1325,1
730820,PASS,,PR-0300,AG-0500,0
730975,PASS,,CW-1425,JM-1550,0
731002,PASS,,KC-2350,JR-1150,0
731152,RUSH,BP-0625,,,1
733000,RUSH,RM-1200,,,1
733125,PASS,,CW-1425,JM-1550,0
733435,PASS,,,,0
734235,PASS,,BR-1100,AB-3500,0
735143,RUSH,JM-3450,,,0
735580,RUSH,MI-0100,,,1
736122,PASS,,AL-1100,TH-1850,1
736276,PASS,,RW-3850,MR-0500,1
736482,RUSH,CK-0100,,,1
736728,PASS,,JF-1900,SS-2100,1
737630,PASS,,CN-0500,GO-0100,0
738288,PASS,,AR-1300,DA-0212,1
738789,PASS,,TB-2300,JE-0100,1
738939,RUSH,MI-0100,,,0
738965,PASS,,DB-3800,TH-1600,0
739575,PASS,,CC-4250,AC-2350,0
740251,PASS,,MM-4700,DP-0350,0
740908,PASS,,AS-1600,JM-0200,0
741056,RUSH,DP-2037,,,1
741207,RUSH,AR-0875,,,1
741234,RUSH,CM-2280,,,0
741410,PASS,,BR-1100,DW-3600,1
741559,RUSH,JW-2550,,,1
741579,PASS,,TB-2300,DA-0900,1
741848,RUSH,JR-3288,,,0
741910,PASS,,MS-4100,KG-0650,0
741930,PASS,,MS-4100,MJ-2250,0
741960,PASS,,CP-0500,JB-6950,0
742556,PASS,,JM-2900,RA-1125,0
742916,PASS,,CW-1425,AJ-0430,1
743069,RUSH,IC-0300,,,1
745479,PASS,,BB-2425,AH-3900,0
746435,PASS,,AR-1300,DA-0212,0
746790,PASS,,BH-1900,TT-0450,0
747670,PASS,,TB-2300,BC-2325,1
748615,PASS,,RW-3850,PR-0150,0
750178,PASS,,MS-4100,TJ-2350,1
750577,PASS,,DP-2037,TW-2270,0
750682,PASS,,BR-1100,AB-3500,0
750712,RUSH,TW-1350,,,1
751091,PASS,,JW-5650,DJ-0200,0
751104,PASS,,EM-0200,OB-0075,0
751705,PASS,,JB-5725,JD-2550,0
751741,PASS,,RW-3850,DB-0500,1
752927,PASS,,EM-0200,OB-0075,0
753921,PASS,,AR-1300,JN-0900,0
754064,PASS,,DW-1725,WF-0300,0
754090,PASS,,AS-1600,DH-1450,0
754113,PASS,,DW-1725,BE-0350,0
754127,RUSH,DW-1725,,,1
754255,RUSH,MT-1800,,,1
754381,RUSH,LB-0500,,,1
754633,PASS,,JF-1900,NB-0450,1
754732,PASS,,DW-1725,RG-1870,1
755962,RUSH,CS-1950,,,0
755984,PASS,,RF-0500,ME-0600,0
755988,RUSH,DM-0450,,,1
756020,PASS,,RF-0500,DJ-0200,0
758329,PASS,,DP-2037,BB-4100,0
759207,PASS,,RM-0300,BW-0700,0
759369,RUSH,JM-3450,,,1
759543,RUSH,MR-2500,,,0
759876,PASS,,MT-1800,KW-2550,0
760195,PASS,,PR-0300,AG-0500,0
760471,PASS,,CW-1425,AJ-0430,1
761238,PASS,,TS-1450,DT-0900,0
762869,PASS,,RW-3850,JM-3475,0
762896,PASS,,RW-3850,JG-2900,0
763220,RUSH,KD-1462,,,1
764160,PASS,,BB-2425,ML-0650,1
764703,RUSH,RF-0500,,,0
764859,PASS,,BR-1100,MB-4550,1
765365,RUSH,OD-0200,,,1
766494,RUSH,LF-0650,,,0
767001,RUSH,AK-0050,,,1
767649,PASS,,DC-0725,MC-2900,1
767775,RUSH,CC-2350,,,1
767788,PASS,,CW-1425,AJ-0430,1
767807,PASS,,CW-1425,ZE-0100,0
767812,PASS,,CW-1425,TB-3950,1
767989,PASS,,RW-3850,JG-2900,1
768283,PASS,,DP-2037,TW-2270,0
768771,PASS,,CN-0500,ED-0400,0
768792,RUSH,CN-0500,,,1
768798,PASS,,,,0
770267,PASS,,BG-0100,LF-0200,1
770355,PASS,,BR-1100,AB-3500,1
771052,PASS,,TS-1450,,0
771511,PASS,,,,0
771532,PASS,,BB-2425,ML-1500,1
771767,RUSH,EM-0950,,,1
774123,PASS,,CK-0250,BB-1550,1
774291,PASS,,DC-0725,MC-2900,1
775605,RUSH,LB-0250,,,0
775934,PASS,,BO-0650,CL-0275,1
777456,PASS,,BP-0625,JK-0250,0
777602,PASS,,,,0
777962,PASS,,TB-2300,RG-2200,1
779412,PASS,,BO-0650,CA-0750,1
780431,PASS,,BB-2425,BK-1050,1
780892,PASS,,TY-0100,DH-3950,0
781188,RUSH,MM-5750,,,0
781225,PASS,,DF-0150,DP-0350,0
782213,PASS,,BH-2300,RC-1500,1
782223,PASS,,GT-0100,MS-4100,1
782718,PASS,,JW-5650,ME-0600,1
782909,PASS,,EM-0200,TR-1050,0
783823,PASS,,MM-0912,RM-1500,0
783842,PASS,,,,0
785039,RUSH,CK-0250,,,0
785418,PASS,,NF-0250,AJ-0430,0
785524,PASS,,NF-0250,CC-2350,0
785700,RUSH,JA-0450,,,1
785809,PASS,,JF-1900,JB-6950,0
786944,RUSH,AK-0050,,,1
786958,PASS,,DB-3800,TG-0900,1
787102,RUSH,SB-0212,,,0
787193,PASS,,PR-0300,MW-2825,0
787259,PASS,,PR-0300,AG-0500,1
787282,RUSH,MG-1150,,,1
787440,PASS,,SB-1100,CK-0825,0
787591,RUSH,DP-2037,,,1
788447,PASS,,JF-1900,JA-1025,0
788960,PASS,,KC-2350,SD-0537,1
789123,RUSH,AK-0050,,,1
789385,PASS,,BR-1100,JC-4075,1
790002,RUSH,TG-1950,,,1
790039,RUSH,TG-1950,,,1
790063,PASS,,JG-1850,MB-3862,1
791041,PASS,,JL-0215,BM-0650,1
791216,PASS,,MR-2500,AH-3650,1
791235,PASS,,MR-2500,MS-0150,1
791737,PASS,,DW-1725,LM-1150,0
792046,PASS,,JG-0650,GK-0075,1
792391,PASS,,KC-2350,KR-1200,0
793649,PASS,,KC-2350,LM-1850,1
793819,PASS,,MR-2500,MS-0150,0
793866,PASS,,AD-0100,AG-1500,0
794493,PASS,,AL-1100,JW-3325,0
794515,PASS,,AL-1100,CR-1525,1
794690,PASS,,SD-0175,QE-0100,0
794720,PASS,,BB-2425,DW-2275,0
795267,PASS,,BM-0650,AC-0237,0
795278,RUSH,DJ-1850,,,1
795323,RUSH,DJ-1850,,,1
795413,PASS,,DC-0725,JN-0900,1
795515,PASS,,PR-0300,MG-1150,1
795744,PASS,,EM-0200,SS-1250,1
795838,PASS,,BR-1100,JC-4075,1
796565,PASS,,EM-0200,RE-0400,1
797052,PASS,,AR-1300,JW-3650,1
797075,PASS,,AR-1300,MV-0012,0
797468,PASS,,CK-0250,DT-0900,0
797909,RUSH,WS-0650,,,1
797957,RUSH,BP-0750,,,0
798089,PASS,,CB-1145,PG-0100,0
798122,PASS,,CB-1145,GK-0075,0
798531,RUSH,TH-1625,,,0
798597,PASS,,AS-1600,CT-1220,0
798908,PASS,,JW-5650,ME-0600,0
799109,PASS,,BR-1100,JS-4750,1
799252,PASS,,BM-0650,AC-0237,1
799565,PASS,,BO-0650,KS-2350,1
800236,PASS,,CN-0500,TS-2300,1
801363,PASS,,MM-0912,TT-0150,0
801595,RUSH,MM-0050,,,1
802112,RUSH,LB-0500,,,0
802472,PASS,,CN-0500,JW-6560,1
803312,PASS,,EM-0200,OB-0075,0
803332,RUSH,SB-0212,,,1
803594,PASS,,BB-2425,DW-2275,0
803785,PASS,,CN-0500,CM-1225,0
804152,PASS,,RF-0500,CG-1425,1
804425,RUSH,PL-0275,,,0
804812,PASS,,BM-0650,SD-0534,0
804910,PASS,,AL-1100,CR-1525,1
805129,PASS,,JR-3250,LF-0200,1
805216,RUSH,TG-1950,,,0
805241,PASS,,JG-1850,TG-1950,1
805592,PASS,,TB-2300,CP-0750,0
806089,PASS,,NP-0182,TP-2400,0
806337,PASS,,BM-0650,DR-0550,0
806360,PASS,,BM-0650,JL-0215,0
806407,PASS,,,,0
807115,PASS,,PR-0300,AG-0500,0
807373,PASS,,JG-1850,GE-0400,1
807991,PASS,,MT-1800,TB-3950,1
808015,PASS,,MS-4100,KG-0650,0
808023,PASS,,MS-4100,KG-0650,0
808329,PASS,,,,0
808574,RUSH,MM-0050,,,1
808784,PASS,,PM-0025,TK-0150,0
809557,RUSH,TG-1950,,,0
810358,RUSH,GE-0150,,,1
810451,PASS,,MT-1800,JB-2950,1
810524,PASS,,MT-1800,AS-0775,1
810539,PASS,,KC-2350,AT-0350,1
810561,PASS,,KC-2350,KR-1200,0
810713,PASS,,CN-0500,JW-6560,0
811638,RUSH,CK-0250,,,0
811789,PASS,,BR-1100,JJ-0725,0
812108,PASS,,CD-0300,AR-1250,0
812144,PASS,,MS-4100,KG-0650,0
813492,PASS,,EM-0200,EP-0350,0
813553,RUSH,CC-2350,,,1
813612,RUSH,JA-0275,,,1
814724,PASS,,MR-2500,AH-3650,0
815388,PASS,,BM-0650,AC-0237,0
815682,PASS,,JA-1087,ZJ-0100,1
816021,PASS,,PR-0300,AG-0500,1
816030,PASS,,PR-0300,KA-0650,1
816347,RUSH,JR-2075,,,0
816876,RUSH,NM-0687,,,0
817035,PASS,,CW-1425,GT-0100,1
818520,RUSH,AK-0050,,,1
818709,PASS,,JJ-3500,VD-0100,1
818719,PASS,,JJ-3500,MF-0950,1
818820,PASS,,JD-2850,GB-0350,0
818891,PASS,,,,0
819702,PASS,,RW-3850,TL-1025,1
819877,PASS,,PR-0300,MW-2825,1
820296,PASS,,MR-2500,MH-0225,0
820424,RUSH,BA-0850,,,0
820569,PASS,,,,0
820780,PASS,,AR-1300,DA-0212,1
822265,PASS,,DB-3800,MT-0875,1
822607,RUSH,GE-0150,,,0
823205,PASS,,JD-2850,CC-4450,1
823709,PASS,,,,0
823883,RUSH,AR-1300,,,1
823973,PASS,,,,0
824458,PASS,,BR-1100,ER-0462,1
824710,RUSH,PM-0025,,,1
825794,PASS,,MT-1800,NK-0800,1
826243,PASS,,EM-0200,EE-0400,1
826300,PASS,,DP-2037,MG-0175,1
826605,PASS,,JW-5650,CG-1425,0
826613,PASS,,JW-5650,AH-3862,0
827060,PASS,,CK-0250,CS-4462,1
827254,PASS,,NM-0687,TT-0450,1
827385,RUSH,DJ-1325,,,1
827697,RUSH,MD-0150,,,1
827744,RUSH,CC-0750,,,1
827860,PASS,,PR-0300,MW-2825,1
828038,PASS,,MT-1800,TG-0025,0
828063,RUSH,WS-0650,,,0
828354,PASS,,DP-2037,AC-2350,1
828560,PASS,,PR-0300,KA-0650,1
828591,PASS,,PR-0300,MW-2825,0
